App Name,Link App,Rating,Review Count,Price Status,Description
"Facebook Pixel, Conversion API",https://apps.shopify.com/adtrace-facebook-pixel-conversion-api?ot=a8e712fe-9e1f-42ea-8725-198181c9f628&search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=1&surface_type=search_ad,4.7,62 total reviews,Free plan available,Facebook and Instagram Pixels for Meta Ads + Conversion API
Roasberry,https://apps.shopify.com/roasberry?ot=fbd90280-08ce-4ba2-b33f-c412742f8138&search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=2&surface_type=search_ad,5.0,1 total reviews,Free trial available,Optimizes marketing with sophisticated data for brand growth.
FBTrack: Facebook Pixels & API,https://apps.shopify.com/facebook-pixel-conversion-api-fbtrack?ot=4472cb02-8274-487f-9b79-6b850469711d&search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=3&surface_type=search_ad,4.8,333 total reviews,Free trial available,Multi pixel for Facebook (aka meta pixel) & Facebook API
"OnePixel Facebook Pixel,TikTok",https://apps.shopify.com/onepixel?ot=d73ee2e5-cf04-4718-ba07-a3e5c88e7242&search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=4&surface_type=search_ad,4.7,212 total reviews,Free plan available,"Track Multipixel, Google Ads Conversion & Conversions API"
Omega Facebook Pixel Ad Report,https://apps.shopify.com/facebook-multi-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=5&surface_type=search,5.0,1500 total reviews,Free plan available,"Track Event, Ad via Multi Facebook Pixel, CAPI, Feed & Catalog"
"Facebook Pixel, Conversion API",https://apps.shopify.com/adtrace-facebook-pixel-conversion-api?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=6&surface_type=search,4.7,62 total reviews,Free plan available,Facebook and Instagram Pixels for Meta Ads + Conversion API
∞ Facebook Pixel ‑Tiktok Pixel,https://apps.shopify.com/infinite-fb-tiktok-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=7&surface_type=search,5.0,644 total reviews,Free plan available,"Track Facebook Pixel, TikTok Pixel, X, Pinterest & Snapchat"
FBTrack: Facebook Pixels & API,https://apps.shopify.com/facebook-pixel-conversion-api-fbtrack?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=8&surface_type=search,4.8,333 total reviews,Free trial available,Multi pixel for Facebook (aka meta pixel) & Facebook API
Facebook Pixel & API ‑ Pixelio,https://apps.shopify.com/pixelio-multi-fbpixel?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=9&surface_type=search,5.0,173 total reviews,Free trial available,"Track & sync multiple Facebook pixel, Conversion api iOS 14"
"OnePixel Facebook Pixel,TikTok",https://apps.shopify.com/onepixel?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=10&surface_type=search,4.7,212 total reviews,Free plan available,"Track Multipixel, Google Ads Conversion & Conversions API"
Nabu: Meta & Facebook Pixels,https://apps.shopify.com/nabu-for-facebook-pixel?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=11&surface_type=search,4.9,35 total reviews,Free,Server Side Facebook Pixels & Meta Pixels with Conversion API
